Asset_ID,Asset_Type,Fuel_Type,Fuel_Consumed_Litres,Distance_Travelled_KM,Trip_Date,Location_Start,Location_End,Trip_Duration_Hours,Maintenance_Flag,Fuel_Cost_Per_Litre,Driver_ID,Weather_Condition,Asset_Age_Years,Speed_KMPH,Trip_Status,Remarks,Total_Trip_Cost
A-00001,Helicopter,Jet Fuel,4432.32,1418.64,2024-05-06,Abu Dhabi Rig,Dubai Port,67.49,Yes,0.87,D-644,Rainy,2,46.7,Completed,Especially use less nice important.,3856.12
A-00002,Supply Ship,Jet Fuel,3765.91,442.83,2025-02-25,Ras Laffan,Doha Bay,12.17,No,1.9,D-233,Rainy,6,80.58,Cancelled,Trial view of condition.,7155.23
A-00003,Truck,Jet Fuel,4962.02,1426.85,2024-03-26,Ras Laffan,Ras Laffan,5.82,No,0.6,D-639,Rainy,5,75.44,Completed,Everyone in property increase pay machine worry.,2977.21
A-00004,Helicopter,Petrol,2044.29,1829.39,2024-10-08,Muscat Dock,Ras Laffan,19.83,No,0.57,D-894,Rainy,12,72.69,Completed,Although four for.,1165.25
A-00005,Helicopter,Jet Fuel,2138.65,542.29,2024-07-12,Ras Laffan,Dubai Port,61.34,No,1.69,D-445,Stormy,12,31.59,Delayed,Indeed city while let piece improve.,3614.32
A-00006,Supply Ship,Diesel,944.33,474.39,2024-03-12,Muscat Dock,Dubai Port,8.54,No,1.12,D-780,Stormy,1,68.99,Cancelled,Remain position sign test show report.,1057.65
A-00007,Truck,Jet Fuel,667.65,217.78,2023-08-30,Ras Laffan,Abu Dhabi Rig,51.78,No,1.87,D-501,Sunny,1,75.06,Completed,Break decide notice piece.,1248.51
A-00008,Truck,Diesel,2935.72,540.95,2025-05-25,Abu Dhabi Rig,Dubai Port,5.47,No,0.95,D-395,Windy,8,112.77,Cancelled,Performance country national the answer seem.,2788.93
A-00009,Helicopter,Jet Fuel,1885.0,1076.23,2023-12-02,Ras Laffan,Muscat Dock,3.33,No,0.93,D-595,Rainy,13,66.09,Cancelled,Just here right safe by.,1753.05
A-00010,Tugboat,Jet Fuel,493.55,1667.11,2024-12-14,Abu Dhabi Rig,Ras Laffan,64.28,No,1.94,D-348,Sunny,9,83.99,Cancelled,Degree thousand she this course field.,957.49
A-00011,Helicopter,Diesel,4446.24,564.81,2023-12-25,Ras Laffan,Doha Bay,55.71,No,1.33,D-171,Stormy,7,76.92,Completed,Republican claim could bed environmental.,5913.5
A-00012,Helicopter,Jet Fuel,1071.95,1246.08,2025-01-29,Ras Laffan,Dubai Port,43.5,No,1.42,D-224,Sunny,9,39.52,Delayed,Challenge physical development its wonder yes.,1522.17
A-00013,Helicopter,Jet Fuel,3768.06,964.39,2023-11-02,Dubai Port,Ras Laffan,13.21,No,1.85,D-140,Sunny,2,38.44,Cancelled,Politics knowledge own child finally some.,6970.91
A-00014,Helicopter,Jet Fuel,1482.92,584.27,2025-01-13,Ras Laffan,Doha Bay,20.8,No,1.07,D-558,Rainy,10,93.94,Delayed,Structure we receive remain particularly early who she.,1586.72
A-00015,Supply Ship,Petrol,4083.23,1025.61,2024-06-16,Abu Dhabi Rig,Abu Dhabi Rig,4.45,No,0.87,D-816,Windy,10,72.31,Delayed,Manage war state own water.,3552.41
A-00016,Truck,Diesel,680.14,344.25,2024-01-26,Doha Bay,Muscat Dock,46.82,No,1.36,D-592,Windy,13,109.6,Completed,Require arm performance again create source.,924.99
A-00017,Supply Ship,Jet Fuel,3804.75,1282.76,2024-08-02,Abu Dhabi Rig,Abu Dhabi Rig,49.71,No,1.12,D-386,Stormy,8,110.82,Completed,Technology sound without.,4261.32
A-00018,Supply Ship,Diesel,580.78,240.17,2024-03-20,Ras Laffan,Dubai Port,24.2,No,0.75,D-287,Sunny,14,49.71,Completed,Wide life source recent car go sister.,435.58
A-00019,Supply Ship,Diesel,2289.89,1464.65,2023-07-28,Muscat Dock,Muscat Dock,25.03,No,0.68,D-107,Stormy,6,30.15,Completed,Company past economic present relate seven.,1557.13
A-00020,Helicopter,Diesel,3696.62,363.65,2025-05-04,Dubai Port,Abu Dhabi Rig,45.66,No,1.59,D-638,Rainy,7,54.41,Delayed,The we blood dog oil suggest wife build.,5877.63
A-00021,Tugboat,Jet Fuel,948.77,1996.34,2024-02-13,Muscat Dock,Ras Laffan,68.14,No,0.55,D-333,Windy,7,26.7,Delayed,Mouth light north million cause Mrs.,521.82
A-00022,Truck,Jet Fuel,1499.76,1649.11,2025-05-27,Dubai Port,Dubai Port,29.02,No,1.29,D-262,Stormy,6,98.13,Completed,Suffer room bag after as.,1934.69
A-00023,Tugboat,Diesel,4337.36,694.24,2024-08-10,Dubai Port,Abu Dhabi Rig,36.04,Yes,0.99,D-921,Windy,4,34.62,Delayed,According be must three south responsibility she.,4293.99
A-00024,Supply Ship,Petrol,4437.08,858.15,2024-05-24,Muscat Dock,Muscat Dock,50.58,No,0.73,D-959,Rainy,3,106.64,Completed,Ahead certain offer some modern.,3239.07
A-00025,Supply Ship,Diesel,320.18,525.79,2025-05-01,Ras Laffan,Muscat Dock,25.3,No,1.84,D-860,Stormy,13,61.53,Delayed,Foot style test single.,589.13
A-00026,Tugboat,Petrol,923.64,1536.56,2025-03-10,Abu Dhabi Rig,Doha Bay,62.69,No,1.61,D-163,Windy,12,47.86,Delayed,Hot big record push focus.,1487.06
A-00027,Tugboat,Diesel,675.61,767.65,2024-06-18,Muscat Dock,Muscat Dock,61.08,Yes,1.66,D-940,Windy,9,70.15,Completed,Catch high foreign easy final various indeed.,1121.51
A-00028,Tugboat,Diesel,980.5,1512.82,2024-08-01,Doha Bay,Muscat Dock,48.87,No,1.15,D-859,Stormy,5,80.55,Completed,Population his seven professor community above.,1127.57
A-00029,Supply Ship,Diesel,4853.92,46.62,2024-04-28,Dubai Port,Dubai Port,39.12,No,1.47,D-732,Stormy,12,90.15,Delayed,Finally other tax clearly their beyond sit pressure.,7135.26
A-00030,Supply Ship,Jet Fuel,2803.11,279.89,2025-07-19,Abu Dhabi Rig,Muscat Dock,70.83,No,0.64,D-194,Windy,13,53.82,Delayed,State fight order yet.,1793.99
A-00031,Truck,Petrol,2393.75,736.3,2024-02-02,Doha Bay,Doha Bay,50.87,Yes,0.71,D-979,Stormy,1,118.3,Completed,Become class line enter wonder thing southern.,1699.56
A-00032,Truck,Petrol,4923.89,226.73,2024-07-31,Abu Dhabi Rig,Muscat Dock,46.67,No,0.98,D-412,Rainy,1,62.23,Delayed,American camera police think over similar firm.,4825.41
A-00033,Supply Ship,Diesel,2829.09,1206.24,2025-07-09,Ras Laffan,Doha Bay,63.25,No,1.19,D-617,Sunny,8,103.45,Cancelled,After song range property difference debate.,3366.62
A-00034,Tugboat,Jet Fuel,3339.48,111.16,2024-08-17,Doha Bay,Ras Laffan,40.4,No,0.64,D-766,Rainy,5,23.49,Cancelled,Operation on identify.,2137.27
A-00035,Tugboat,Jet Fuel,1730.58,1720.93,2025-02-08,Muscat Dock,Doha Bay,18.25,No,1.35,D-118,Rainy,14,97.8,Cancelled,System trouble forward interesting table good shake.,2336.28
A-00036,Truck,Petrol,1972.36,1525.0,2024-09-15,Abu Dhabi Rig,Dubai Port,10.78,No,0.86,D-776,Rainy,5,75.13,Completed,Wrong maybe wait sign majority issue true.,1696.23
A-00037,Supply Ship,Jet Fuel,3012.61,440.35,2023-12-12,Muscat Dock,Abu Dhabi Rig,34.44,No,1.66,D-172,Sunny,11,83.96,Completed,Imagine ok worker about.,5000.93
A-00038,Truck,Petrol,441.95,972.75,2024-12-12,Muscat Dock,Abu Dhabi Rig,37.61,Yes,0.5,D-622,Sunny,2,57.29,Cancelled,Professional late none seek tell.,220.98
A-00039,Truck,Petrol,1353.83,909.11,2025-05-25,Abu Dhabi Rig,Ras Laffan,59.77,No,1.8,D-664,Stormy,8,74.48,Delayed,From few share if serve take force foreign.,2436.89
A-00040,Helicopter,Petrol,1064.38,1452.48,2023-10-02,Abu Dhabi Rig,Dubai Port,10.9,No,1.6,D-697,Windy,12,113.22,Delayed,Today maintain medical agency easy day.,1703.01
A-00041,Helicopter,Jet Fuel,177.88,809.0,2024-02-10,Dubai Port,Ras Laffan,49.37,No,1.32,D-495,Stormy,6,58.6,Completed,Body language business term commercial.,234.8
A-00042,Helicopter,Petrol,2730.82,75.54,2023-08-11,Dubai Port,Ras Laffan,22.59,No,1.61,D-155,Sunny,1,30.58,Completed,Simple much but.,4396.62
